"","mgi_symbol","Frequency.x","WT_percent_Myh11_TFs","Frequency.y","MutAll_percent_Myh11_TFs","Δfrequency","Δpercent","Murine_RNA-seq_cluster_UP","Murine_RNA-seq_cluster_DOWN"
"6686","Pth1r",1008,10.3917525773196,1002,10.3298969072165,6,0.0618556701030997,"NAcluster_7,","NAcluster_1,cluster_2,cluster_5,cluster_6,"
"6711","Dbi",1007,10.3814432989691,1002,10.3298969072165,5,0.0515463917525985,NA,"NAcluster_5,"
"6715","Vcam1",1006,10.3711340206186,989,10.1958762886598,17,0.1752577319588,"NAcluster_2,cluster_3,cluster_4,cluster_5,","NAcluster_6,cluster_7,"
"6768","Kcnj8",1004,10.3505154639175,953,9.82474226804124,51,0.52577319587626,"NAcluster_1,",NA
"6814","Wif1",1002,10.3298969072165,998,10.2886597938144,4,0.0412371134021008,"NAcluster_7,","NAcluster_3,cluster_5,"
"6850","Bmp2",1002,10.3298969072165,998,10.2886597938144,4,0.0412371134021008,NA,"NAcluster_1,cluster_4,"
"6855","Vldlr",1001,10.319587628866,997,10.2783505154639,4,0.041237113402099,"NAcluster_1,",NA
"6913","Lmo4",999,10.2989690721649,989,10.1958762886598,10,0.103092783505099,NA,"NAcluster_1,"
"6961","Steap4",996,10.2680412371134,994,10.2474226804124,2,0.0206185567009989,"NAcluster_6,","NAcluster_3,cluster_5,"
"7029","Col4a2",994,10.2474226804124,991,10.2164948453608,3,0.0309278350515996,"NAcluster_1,cluster_3,","NAcluster_6,cluster_7,"
"7032","Ccl7",994,10.2474226804124,993,10.2371134020619,1,0.0103092783505012,"NAcluster_3,cluster_4,",NA
"7119","Col6a2",992,10.2268041237113,989,10.1958762886598,3,0.0309278350515001,"NAcluster_7,","NAcluster_1,cluster_2,"
"7205","Marcks",988,10.1855670103093,984,10.1443298969072,4,0.0412371134021008,"NAcluster_3,cluster_4,","NAcluster_1,cluster_7,"
"7252","Egr1",986,10.1649484536082,981,10.1134020618557,5,0.0515463917525008,"NAcluster_6,","NAcluster_1,cluster_5,"
"7345","Cpe",984,10.1443298969072,982,10.1237113402062,2,0.0206185567010007,"NAcluster_1,cluster_7,","NAcluster_3,cluster_4,cluster_5,"
"7989","Cd44",982,10.1237113402062,963,9.92783505154639,19,0.195876288659809,"NAcluster_5,","NAcluster_1,cluster_7,"
"8010","Lgals3",981,10.1134020618557,978,10.0824742268041,3,0.0309278350515996,"NAcluster_5,","NAcluster_1,cluster_2,cluster_3,"
"8089","Serpinb1a",979,10.0927835051546,931,9.5979381443299,48,0.4948453608247,"NAcluster_4,cluster_5,",NA
"8090","Capg",979,10.0927835051546,973,10.0309278350515,6,0.0618556701030997,"NAcluster_5,","NAcluster_1,cluster_6,cluster_7,"
"8702","Cd248",974,10.0412371134021,923,9.51546391752577,51,0.525773195876331,"NAcluster_3,",NA
"8706","Ppp1r1b",974,10.0412371134021,963,9.92783505154639,11,0.113402061855711,"NAcluster_7,","NAcluster_5,"
"8776","Cryab",973,10.0309278350515,970,10,3,0.0309278350515001,"NAcluster_1,",NA
"8796","Unc5b",973,10.0309278350515,969,9.98969072164948,4,0.0412371134020209,"NAcluster_3,",NA
"8873","Nrp2",971,10.0103092783505,967,9.96907216494845,4,0.0412371134020493,NA,"NAcluster_1,"
"9413","Ckb",966,9.95876288659794,964,9.93814432989691,2,0.0206185567010309,"NAcluster_1,cluster_3,","NAcluster_6,cluster_7,"
"9453","Ms4a7",965,9.94845360824742,959,9.88659793814433,6,0.061855670103089,NA,"NAcluster_1,"
"9526","Sema3d",963,9.92783505154639,958,9.87628865979381,5,0.0515463917525807,"NAcluster_1,",NA
"9622","Mylk4",962,9.91752577319588,956,9.85567010309278,6,0.0618556701030997,"NAcluster_1,",NA
"9632","Grin2a",962,9.91752577319588,954,9.83505154639175,8,0.0824742268041305,NA,"NAcluster_1,"
"9638","Myh10",962,9.91752577319588,906,9.34020618556701,56,0.577319587628869,"NAcluster_1,cluster_3,",NA
"9684","Igfbp5",961,9.90721649484536,958,9.87628865979381,3,0.0309278350515498,"NAcluster_3,cluster_4,","NAcluster_7,"
"9744","Rbpms2",959,9.88659793814433,952,9.81443298969072,7,0.0721649484536098,"NAcluster_1,cluster_3,",NA
"9748","Uchl1",959,9.88659793814433,951,9.80412371134021,8,0.0824742268041199,"NAcluster_1,","NAcluster_6,cluster_7,"
"9756","Gpnmb",958,9.87628865979381,908,9.36082474226804,50,0.51546391752577,NA,"NAcluster_7,"
"9765","Fam162a",958,9.87628865979381,952,9.81443298969072,6,0.061855670103089,"NAcluster_5,",NA
"9771","Hspb7",958,9.87628865979381,905,9.3298969072165,53,0.546391752577309,"NAcluster_1,",NA
"10257","Sod3",958,9.87628865979381,948,9.77319587628866,10,0.103092783505149,"NAcluster_1,cluster_2,cluster_3,cluster_4,","NAcluster_6,cluster_7,"
"10331","Vps8",956,9.85567010309278,948,9.77319587628866,8,0.0824742268041199,"NAcluster_7,",NA
"10332","Pcolce2",956,9.85567010309278,953,9.82474226804124,3,0.030927835051541,"NAcluster_7,","NAcluster_1,cluster_2,cluster_3,cluster_4,"
"10354","Phex",955,9.84536082474227,941,9.70103092783505,14,0.14432989690722,"NAcluster_7,",NA
"10445","Fbln5",953,9.82474226804124,948,9.77319587628866,5,0.0515463917525789,"NAcluster_1,cluster_2,cluster_3,cluster_5,","NAcluster_6,cluster_7,"
"10447","Cdh13",953,9.82474226804124,949,9.78350515463918,4,0.0412371134020599,"NAcluster_1,cluster_2,cluster_3,cluster_5,","NAcluster_6,cluster_7,"
"10488","Vit",952,9.81443298969072,944,9.7319587628866,8,0.0824742268041199,"NAcluster_7,","NAcluster_1,"
"10514","Edil3",951,9.80412371134021,942,9.71134020618557,9,0.0927835051546406,"NAcluster_7,","NAcluster_1,cluster_2,cluster_3,"
"11093","Hexb",949,9.78350515463918,942,9.71134020618557,7,0.0721649484536098,NA,"NAcluster_7,"
"11140","Hspb2",948,9.77319587628866,945,9.74226804123711,3,0.0309278350515498,"NAcluster_1,",NA
"11245","Ctsl",947,9.76288659793815,938,9.6701030927835,9,0.0927835051546513,"NAcluster_3,cluster_4,cluster_5,","NAcluster_6,cluster_7,"
"11296","Crispld2",946,9.75257731958763,940,9.69072164948454,6,0.061855670103089,"NAcluster_1,cluster_3,","NAcluster_5,"
"11301","Cd68",946,9.75257731958763,944,9.7319587628866,2,0.0206185567010291,NA,"NAcluster_1,cluster_7,"
"11318","Col27a1",945,9.74226804123711,933,9.61855670103093,12,0.123711340206182,"NAcluster_7,","NAcluster_1,cluster_2,cluster_3,cluster_5,"
"11378","Col8a1",944,9.7319587628866,895,9.22680412371134,49,0.505154639175261,"NAcluster_3,","NAcluster_1,cluster_6,cluster_7,"
"11399","Aprt",944,9.7319587628866,938,9.6701030927835,6,0.0618556701031014,NA,"NAcluster_7,"
"11430","Plvap",943,9.72164948453608,936,9.64948453608247,7,0.0721649484536098,"NAcluster_4,cluster_5,","NAcluster_7,"
"11437","Sparc",943,9.72164948453608,939,9.68041237113402,4,0.0412371134020599,"NAcluster_7,","NAcluster_1,cluster_2,"
"11454","Col1a2",942,9.71134020618557,939,9.68041237113402,3,0.0309278350515498,"NAcluster_7,","NAcluster_1,cluster_2,"
"11483","Hspb1",942,9.71134020618557,938,9.6701030927835,4,0.0412371134020706,"NAcluster_1,cluster_3,","NAcluster_7,"
"11513","Prrx2",941,9.70103092783505,934,9.62886597938144,7,0.0721649484536115,"NAcluster_1,","NAcluster_7,"
"11573","Cxcl2",940,9.69072164948454,939,9.68041237113402,1,0.0103092783505208,"NAcluster_3,cluster_4,","NAcluster_7,"
"11776","Sh3bgr",936,9.64948453608247,884,9.11340206185567,52,0.5360824742268,"NAcluster_1,","NAcluster_5,"
"12416","Gem",935,9.63917525773196,923,9.51546391752577,12,0.12371134020619,"NAcluster_4,cluster_6,",NA
"12423","Dapl1",935,9.63917525773196,925,9.5360824742268,10,0.10309278350516,"NAcluster_6,",NA
"12447","Crim1",934,9.62886597938144,931,9.5979381443299,3,0.0309278350515392,"NAcluster_3,",NA
"12449","Myl9",934,9.62886597938144,919,9.47422680412371,15,0.15463917525773,"NAcluster_1,cluster_2,cluster_3,","NAcluster_6,cluster_7,"
"12468","Nfkbia",933,9.61855670103093,929,9.57731958762887,4,0.0412371134020599,"NAcluster_4,cluster_6,","NAcluster_1,cluster_7,"
"12484","Efhd1",933,9.61855670103093,926,9.54639175257732,7,0.0721649484536098,"NAcluster_1,",NA
"12503","Col11a1",933,9.61855670103093,932,9.60824742268041,1,0.010309278350519,"NAcluster_7,","NAcluster_1,cluster_2,cluster_3,cluster_4,cluster_5,"
"13013","Mfge8",932,9.60824742268041,918,9.4639175257732,14,0.144329896907211,"NAcluster_7,","NAcluster_5,"
"13030","Gngt2",932,9.60824742268041,920,9.48453608247423,12,0.12371134020618,NA,"NAcluster_6,cluster_7,"
"13146","Pla1a",930,9.58762886597938,926,9.54639175257732,4,0.0412371134020599,"NAcluster_5,","NAcluster_1,cluster_2,"
"13214","Jun",929,9.57731958762887,925,9.5360824742268,4,0.0412371134020688,"NAcluster_3,cluster_4,cluster_6,","NAcluster_5,"
"13225","Pdgfc",928,9.56701030927835,923,9.51546391752577,5,0.0515463917525807,NA,"NAcluster_1,cluster_2,"
"13228","Enah",928,9.56701030927835,924,9.52577319587629,4,0.0412371134020599,"NAcluster_1,",NA
"13232","Fgfrl1",928,9.56701030927835,919,9.47422680412371,9,0.0927835051546406,"NAcluster_7,","NAcluster_5,"
"13238","Slc22a1",928,9.56701030927835,923,9.51546391752577,5,0.0515463917525807,"NAcluster_1,",NA
"13244","Atp1b1",928,9.56701030927835,874,9.01030927835052,54,0.55670103092783,"NAcluster_3,",NA
"13272","Pim1",927,9.55670103092783,904,9.31958762886598,23,0.237113402061849,"NAcluster_4,",NA
"13364","Gabra3",925,9.5360824742268,902,9.29896907216495,23,0.237113402061851,"NAcluster_1,",NA
"13429","Phlda3",924,9.52577319587629,918,9.4639175257732,6,0.0618556701030908,"NAcluster_5,","NAcluster_6,cluster_7,"
"13434","Sdc4",924,9.52577319587629,916,9.44329896907217,8,0.0824742268041199,"NAcluster_6,cluster_7,","NAcluster_3,"
"13444","Cd109",923,9.51546391752577,872,8.98969072164948,51,0.52577319587629,"NAcluster_7,","NAcluster_1,cluster_2,"
"13445","Ecscr",923,9.51546391752577,920,9.48453608247423,3,0.0309278350515392,"NAcluster_2,cluster_4,","NAcluster_7,"
