,A1_CRRA190009494,A2_CRRA190009495,A3_CRRA190009496,A4_CRRA190009497,B1_CRRA190009498,B2_CRRA190009499,B3_CRRA190009500,B4_CRRA190009501,D1_CRRA190009506,D2_CRRA190009507,D3_CRRA190009508,D4_CRRA190009509
Cyp3a11,0,0,0,0,0,0,0,0,0,0,0,0
Cyp3a25,0,0,0,0,0,0,0,0,0,0,0,0
Cyp3a59,0,0,0,0,0,0,0,0,0,0,0,0
1700001J03Rik,0,0,0,0,0,0,0,0,0,0,0,0
Rnf6,1811.418,1817.604,1927.98,1833.033,1775.922,1872.189,1896.858,2025.564,1953.485,1820.552,1932.118,1865.445
Cdk8,673.9485,644.9241,547.2651,535.8415,815.7461,684.9472,632.2859,579.4055,628.3794,549.8554,637.3671,603.5555
Wasf3,0.9697101,1.001435,4.016625,0,3.227482,0,0,0,0,0,0,0
Gm6408,0,0,0,0,0,0,0,0,0,0,0,0
Gm6370,0,0,0,0,0,0,0,0,0,0,0,0
Gm3415,0,0,0,0,0,0,0,0,0,0,0,0
4930449I24Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm3402,0,0,0,0,0,0,0,0,0,0,0,0
Gm3404,0,0,0,0,0,0,0,0,0,0,0,0
Gm3409,0,0,0,0,0,0,0,0,0,0,0,0
Gpr12,0,0,0,0,0,0,0,0,0,0,0,0
Usp12,1121.955,1046.499,1020.223,984.7898,932.7423,1021.364,1010.584,1139.026,993.5739,1070.913,1093.532,1001.942
Rpl21,13408.18,15053.57,17183.12,16799.35,13161.67,13087.62,15771.37,16485.26,16724.48,16004.3,17099.35,16069.91
Rasl11a,190.0632,247.3544,228.9476,197.5786,274.336,207.8139,205.6941,210.0934,128.5321,127.7896,156.9714,138.4393
Gtf3a,513.9463,474.6801,493.0407,566.8748,559.9681,533.9793,512.4467,524.7624,583.4951,674.0453,480.3957,521.8863
Mtif3,223.0333,321.4606,268.1097,279.2996,286.439,273.047,252.1989,244.9519,340.7122,283.477,282.3378,372.4914
Lnx2,492.6127,498.7146,487.0157,503.7738,444.5856,505.0904,507.0808,525.7045,498.8271,566.054,513.0542,517.9024
Polr1d,1769.721,1877.69,1683.97,1881.652,1770.274,1596.346,1823.523,1915.335,1894.319,1906.945,2237.633,2129.376
Gsx1,0,0,0,0,0,0,0,0,0,0,0,0
2210019I11Rik,0,0,0,0,0,5.591406,0,0,0,0,0,0
Pdx1,0,0,0,0,0,0,0,0,0,0,0,0
Mir7k,0,0,0,0,0,0,0,0,0,0,0,0
Cdx2,0,0,0,0,0,2.795703,0,0,0,0,2.106999,0.9959662
Urad,0,0,0,0,0,0,0,0,0,0,0,0
Flt3,0,2.00287,0,0,0,0,0,0,0,0,5.267497,0
D5Ertd605e,4.84855,0,5.020781,5.172215,2.420611,4.659505,0.8943223,1.884245,5.100482,10.79912,3.160498,7.96773
Pan3,1044.378,930.333,874.62,866.8633,1338.598,1152.762,977.4943,992.0552,1002.755,961.122,949.203,989.9904
Flt1,92.12246,99.14205,68.28262,52.75659,62.9359,82.00729,92.1152,42.39552,197.8987,175.4858,151.7039,144.4151
Pomp,1373.109,1645.357,1750.244,1766.829,1370.066,1309.321,1588.316,1803.223,1608.692,1430.884,1592.891,1563.667
Slc46a3,157.093,143.2052,158.6567,134.4776,141.2023,209.6777,148.4575,153.566,191.7781,182.6852,193.8439,185.2497
Mtus2,56.24318,67.09614,56.23274,55.85992,78.26644,105.3048,76.0174,67.83284,45.90434,36.897,64.26346,53.78218
Slc7a1,1807.54,1543.211,1680.957,1756.484,1704.917,2449.968,1740.351,1665.673,1302.663,1170.805,1090.372,1015.886
Ubl3,1775.539,1787.561,1764.302,1708.9,1548.384,1668.103,1655.391,1829.602,1703.561,1924.044,1854.159,1926.199
2210417A02Rik,0,0,0,0,0,0,0,0,0,0,0,0
4930505K14Rik,0,0,0,0,0,0,0,0,0,0,0,0
Katnal1,731.1614,743.0647,752.113,718.9379,732.6384,676.5601,722.6124,802.6885,800.7757,772.1373,648.9556,780.8375
8430423G03Rik,9.697101,10.01435,4.016625,11.37887,31.46795,33.54844,29.51264,25.43731,7.140675,1.799854,24.23049,11.95159
5930430L01Rik,99.88014,139.1994,123.5112,197.5786,287.2459,261.8642,225.3692,219.5146,98.94935,108.8912,114.8314,134.4554
Gm15408,52.36434,61.08753,60.24937,95.16876,116.1894,67.09687,61.70824,97.03864,47.94453,60.2951,90.60095,47.80638
Hmgb1,7956.471,7636.942,7777.189,7685.912,6754.313,7012.555,7028.479,6864.306,8914.623,8210.933,8717.708,8373.088
5730422E09Rik,3.87884,0,0,1.034443,5.648093,1.863802,0,8.479104,1.020096,0,0,2.987899
Gm8615,98.91043,100.1435,105.4364,101.3754,89.56263,74.55208,88.53791,96.09652,145.8738,124.1899,172.7739,102.5845
Uspl1,600.2505,542.7777,546.2609,597.9081,557.5475,592.689,554.4798,529.473,649.8014,585.8524,546.7662,565.7088
Alox5ap,3.87884,1.001435,6.024937,0,0,1.863802,0.8943223,2.826368,4.080386,5.399562,8.427995,4.979831
Medag,1849.237,1843.642,1858.693,1677.867,1960.695,1768.748,2086.454,1851.271,2100.379,2071.632,2218.67,2261.839
Tex26,32.00043,30.04305,29.12053,28.9644,34.69543,27.02513,50.08205,52.75887,27.5426,40.49671,29.49798,23.90319
Gm15997,0,0,0,0,0,0,0,0,0,0,0,0
Wdr95,0,0,0,0,0,0,0,0,0,0,1.053499,0
Hsph1,1632.022,1682.411,1595.604,1568.216,1652.471,1762.225,1621.406,1605.377,1005.815,1003.419,988.1825,1093.571
B3glct,568.2501,571.8193,583.4147,473.7749,450.2337,516.2732,513.341,531.3572,646.7411,544.4558,632.0996,584.6322
Gm21221,0,0,0,0,0,0,0,0,0,0,0,0
4930500F04Rik,0,0,0,0,0,0,0,0,0,0,0,0
Rxfp2,0,0,0,0,0,0,0,0,0,0,0,0
Fry,329.7014,330.4735,256.0598,317.574,283.2115,315.9144,278.1342,296.7687,464.1439,474.2615,471.9677,458.1445
Gm5,0,0,0,0,0,0,0,0,0,0,0,0
Zar1l,0,0,0,0,0,0,0,0,0,0,0,0
Brca2,477.0974,523.7504,454.8827,463.4305,365.5123,413.7641,516.9183,358.9488,885.4437,741.5398,528.8567,520.8903
N4bp2l1,20.36391,31.04448,29.12053,28.9644,41.95727,35.41224,55.44798,32.97429,20.40193,24.29803,23.17699,31.87092
N4bp2l2,1875.419,1993.857,1745.223,1883.721,1875.167,2016.634,1925.476,1970.921,1872.897,1856.549,1645.566,1845.525
